ID,Use Case,AI Product,Delivery Owner,Status,Current Phase,Lifecycle Sub-Step,AI Governance Step,AI PO,AI Strategist,Buy/Build/Adapt,Submitter,Business Partner,Business Area,Executive Summary,Build Lead,Priority,Risk Assessment,Comments,Problem Statement,Description,Governance Notes,Timing Considerations,Is Real Data Required?,Does it Drive Internal Efficiency?,Data Scope,AI Solution or Tools of Interest,Build Status,Does it leverage AI on Products?,Build Notes,PV ID,Risk Level,In Scope,Modified By,Submission Date,Created,Submission Year,Intake & Triage Date,Risk Review Date,AI OC Review Date,AI GB Review Date,AI ARC Complete Date,Deployment/Approval Date,Completion,Stakeholders,In Build Team Scope,ADO Epic,Doc link. Funding Commitment Form,Doc link. Level of Effort,Doc link. Functional Design Document,Doc link. Technical Design Document,Doc link. Application Installation Quallification (AIQ),Doc link. Code Review,Doc link. Runbook,Doc link. Hypercare Exit Criteria,Doc link. SIT Test Scripts,Doc link. UAT Test Scripts,Modified,Total Priority,AI Validation Status,AI Monitoring Required,AI Safety and Performance Status,Financial ROI,Strategic Priority,Continuity,Regulatory priority level,Total Priority McKensey,Business Unit: Group,LOE Tshirt Size,Projected Value $,Doc link. BCFM,Doc link. URS Requirements,ROM / LOE Total Amount,Feasibility (Complexity & Data Readiness),Scalability or Reusability,Total Priority -Opt
10,CS AI Agent URS​,CS AI Agent URS​,,Completed,8. Cancelled,07. Requirements Review/ Technical Scoping,New Use Case,"De la Torre, Gustavo","Heller, Amanda",Build,"Ballestero, Michael","Vernon, Eryn",Corporate Functions,,,Routine,https://stryker-my.sharepoint.com/:x:/r/personal/michael_ballestero_stryker_com/Documents/Microsoft%20Teams%20Chat%20Files/MAKO%20CS%20Agent%20-%20AI%20Risk%20Intake%20Questionnaire.xlsx?d=w41e5f5bb9f3f4d08996220d9b1f0657a&csf=1&web=1&e=6PGxJy,"12/18 --> Gus to follow up with Erin and cc: Dianet, to confirm the next steps.","Clinical Support Team Members currently face delays and inconsistencies when retrieving information
during support calls due to fragmented knowledge sources and manual search processes. This impacts
response accuracy and call efficiency. Managers lack visibility into AI usage and content quality, limiting
their ability to improve the knowledge base over time.​","
Enable Clinical Support Team Members to interact with a Generative AI assistant that integrates with
existing knowledge base systems to provide fast, accurate, and context-aware responses during support
calls. The AI parses user input to tailor results and supports continuous improvement through reporting
and feedback loops.​",No risk assessment,,TRUE,TRUE,,"Generative AI can be integrated with existing knowledge base systems to allow natural language
queries, parse user input for context, and return tailored, relevant results in real time. AI usage data
can be captured and reported to managers to identify content gaps and improve future responses.
Potential tools: Azure OpenAI, Microsoft Copilot, ServiceNow Virtual Agent, or custom LLM-based
chatbot with KB connectors.​",,FALSE,,1009025,,Yes,"Elizondo, Carlos",7/11/25,7/11/25 12:32,2025,,,,,,,,,Yes,,,,,,,,,,,,3/27/26 7:14,30,Not Assessed,Not Assessed,Required,,,,,0,Corporate,,,,,,,,0
11,FSE AI Agent URS,FSE AI Agent URS,,In-Progress,1. Ideation,07. Requirements Review/ Technical Scoping,Pending Assessments / AI ARC,"Ballestero, Michael","Heller, Amanda",Co-Build,"Ballestero, Michael","Perez, Dianet",Joint Replacement,,,Routine,/:x:/s/AIStrategy/IQDurvb31-meRpSdqR5EZwfkAS5SQCvMkMBIfhhZ2DGSD1s?e=6rWAsr,Cobuild Initiative. Waiting on Cobuild infrastructure and setup.                          12/18--> From Amanda: that one is not part of the pilot. it's been built already (during our Cit Dev pilot) and is just waiting on the test and prod co-build environ,"
Field Service Engineers face delays and inconsistencies when troubleshooting Mako Robots due to
fragmented or hard-to-access knowledge sources. Additionally, onboarding new technicians is time-
consuming. Managers lack visibility into AI usage and knowledge gaps, limiting continuous
improvement.​","Enable Field Service Engineers to use Generative AI for real-time troubleshooting of Mako Robots and
accessories, leveraging integrated knowledge bases. The AI also supports onboarding and training of
new hires. Managers can monitor AI usage to improve knowledge accuracy and completeness.​",,,TRUE,TRUE,,"Generative AI can ingest and integrate existing knowledge bases to provide contextual, real-time
troubleshooting support. It can also serve as an interactive training assistant for new hires. Manager
dashboards can track AI interactions to identify gaps and improve content. Potential tools: Azure
OpenAI, Microsoft Copilot​",,FALSE,,1009024,Low,Yes,"Abreu, Matthew",7/11/25,7/11/25 14:16,2025,9/10/25,2/25/26,,,,,,,Yes,,,,,,,,,,,,3/17/26 13:25,33,Not Assessed,Not Assessed,Required,,,,,0,Commercial US,,,,,,,,0
12,AI Standards Tracker​,AI Standards Tracker​,,Completed,8. Reject,12. Complete,New Use Case,"Ballestero, Michael","Ballestero, Michael",Buy,"Vargas, Josue David","Perez, Dianet",Joint Replacement,,,Routine,,,Increased efficiency to determine standards changes and impacts,"Advanced Technology team is tracking 1800+ standards worldwide.​
Change analysis takes 4 hrs. - 3 days on average per standard change.​
AI will track upcoming and newly released standards and generate a status and change report.",No Risk Assessment,,TRUE,TRUE,,,,FALSE,,1008608,,Yes,"Abreu, Matthew",10/3/25,7/11/25 14:43,2025,,,,,,,,,No,,,,,,,,,,,,5/4/26 8:01,30,Not Assessed,Not Assessed,Completed,,,,,0,Commercial US,,,,,,,,0
13,Agentforce AI,Agentforce AI,IT,Completed,6. Deployed,12. Complete,AI Governance Completed,"Flores, Fernando","Flores, Fernando",Buy,"Ashtaker, Rashmi","Garza, Angel",EDT,/:p:/s/AIIntakeTeam/ESa-qt49k4tNiO3skw5uHxcBpeYrbAPaRDe5onUSSaivlA?e=cAMbTp,,Routine,/:x:/s/AIIntakeTeam/EfRtO0_eeOhKvmuv5ub6pzEBF15ZWVhiicop28Dx1Rsneg?e=yjd2or,11/10 --> Fernando to follow up with Rashmi about the assessment's status and next steps. DONE 11/13 --> Fer talk with Matt/Carlos what are the next steps for this use case. 12/05 Follow up,"This will ultimately Endo division customer service agents to resolve issues faster, reduce unnecessary shipments, and improve both operational efficiency and customer satisfaction.",AI-detection of duplicate service requests for customer support agents,AIOC updated,,FALSE,TRUE,,Agentforce AI,,FALSE,,,High,Yes,"Abreu, Matthew",4/30/25,7/11/25 15:12,2025,,6/11/25,6/12/25,,,,,"Owners Ashtaker, Rashmi; ;#Muraleedharan, Balamurali;",No,,,,,,,,,,,,5/4/26 5:55,30,Not Assessed,Not Assessed,Completed,,,,,0,EDT,,,,,,,,0
14,JetBrains AI,JetBrains AI,AI Office,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,"Flores, Fernando","Flores, Fernando",Buy,"Rasco, Tobin","Rasco, Tobin",EDT,/:p:/s/AIIntakeTeam/EW0QeZV-tttIqvAGIr4KhXwBwBs2RZFn1tOX5NdhbpxmPw?e=jBecV1,,Routine,/:x:/s/AIIntakeTeam/EV_N0hBXkmtGkTuH_DFSafcBLKKJVsn5F6e84yke8QrOlQ?e=ZSzbFK,11/10 --> Supposed to start the assessments this week. @Fernando to follow up on 11/13. DONE. 12/09 Not respond yet. 12/22 Fer --> Send another follow up. 12/29 Fer --> Will continue on January.,Software developers in the Blueprint Web Team in Upper Extremities have a slower throughput time due to the inability of implementing an AI code enabler that would make their job faster.,"JetBrains AI Assistant is an AI-powered feature built into JetBrains IDEs, included with the tool’s license but requiring activation at the license level. It supports developers by analyzing written code, suggesting improvements for reliability and security, and generating context-aware code blocks. The Blueprint Web Team in Upper Extremities uses it to accelerate development and maintain high code quality.",AIOC updated,N/A,FALSE,TRUE,N/A,AI code enablement assistant,,FALSE,,,High,Yes,"Abreu, Matthew",2/28/25,7/14/25 7:22,2025,,6/11/25,,,,,,"Developers and Blueprint Web Team in Upper Extremities
Carpentier, Cristophe
",No,,,,,,,,,,,,5/4/26 8:06,30,Not Assessed,Not Assessed,Required,,,,,0,EDT,,,,,,,,0
15,Jotform,Jotform,AI Office,Completed,6. Approved for Use,12. Complete,Pending Assessments / AI ARC,"Flores, Fernando","Flores, Fernando",Buy,"Pizarro, Laurie","Pizarro, Laurie",HR,/:p:/s/AIIntakeTeam/ETrzlmbJ485CmXZfS7tk4_8BdRNc3En6I6F46pUxaG4WgQ?e=Qa4OKu,,Routine,/:x:/s/AIIntakeTeam/EUzOv6kqrxZArTeuWCzk_8EBHfQ3LsSnlVewH0Z0VDaklQ?e=R3YqZx,11/10 -->Fer to follow up on information requested by Model Validation Team. DRAFT. 12/05 Move to AI ACR for pilot (Needs testing),Improve employee access to development resources and reduce friction in navigating learning tools.,"To improve employee access to development resources and reduce friction in navigating learning tools, we are introducing an AI-powered assistant on our Development Portal. By leveraging Jotform’s AI capabilities, the assistant will guide users to relevant content, automate FAQs, and streamline access to tools like Gallup StrengthsFinder, LinkedIn Learning, and on-demand training—enhancing the user experience without relying on fully autonomous AI.",AIOC updated,N/A,FALSE,TRUE,N/A,Jotform,,FALSE,6/12: Complete an offline review w/ AI OC leadership. Review w/ AI OC if not reviewed by 7/10,,High,Yes,"Abreu, Matthew",4/16/25,7/14/25 7:37,2025,,4/16/25,6/12/25,,1/6/26,,,"HR Development Portal Users, new hires and possible prospects",No,,,,,,,,,,,,5/4/26 5:58,30,Required,Not Assessed,Completed,,,,,0,Corporate,,,,,,,,0
16,JR Post Market Complaint Handling,JR Post Market Complaint Handling,,Completed,7. Monitoring,12. Complete,AI Governance Completed,"Ballestero, Michael","Ballestero, Michael",Build,"De la Torre, Gustavo","Perez, Dianet",Joint Replacement,/:p:/s/AIIntakeTeam/EfRyXuulBoNEmD-w6SQbY6QBSE9Lgw107UhBeYJrjurCHw?e=LY83dX,"Tindol, Blake",Time-Sensitive,/:x:/s/AIIntakeTeam/EeyQJWqFl85LklrF3H_qwAIB2r5CrzGbt_IAOmVBIPqHUQ?e=xlwa8U,,"The Complaint Handling is currently processing over 35k complaints each year, projected to increase to 50k by 2028. ~25% are known failures which require only a coding selection. We have over 10 years of TrackWise Complaint Data available to help the AI decide the coding selectin for Known Failure to associate the new complaints to, however the complaints are not to be submitted without prior human review.  Savings for JR -> 729 Hours/Year, Cross Divisional -> 2,083 Hours/Year (65k case/yearly)",Help the AI decide the coding selectin for Known Failure to associate the new complaints to; however the complaints are not to be submitted without prior human review. ,AIOC updated,Time-Sensitive,TRUE,TRUE,10 Years worth of TrackWise Complaint Data,AI Assistant to optimize type of responses to coding complaints,4-Complete,FALSE,"Hypercare, in Prod Environment",1008171,High,Yes,"Elizondo, Carlos",3/26/25,7/14/25 7:53,2025,,3/26/25,5/8/25,,7/28/25,,100%,Complaint Team,Yes,,,,,,,,,,,,3/20/26 11:30,32,Not Assessed,Not Assessed,Completed,3,3,,,6,Commercial US,,"$200,000.00 ",,,,3,3,48
17,Konectar,Konectar,,Completed,6. Approved not by AI ARC,12. Complete,Pending AI ARC,"De la Torre, Gustavo","De la Torre, Gustavo",Buy,"Hewitt, Lindy","Petersen, Stacey",Neurovascular,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=60&e=GvjSmy,,Time-Sensitive,/:x:/s/AIStrategy/IQB90EZF54KfRLkP_ERQRRMLAUxvm7s8wIxL-cZT9IzwIw8?e=Kc15s3,,"NV will use this to better identify and engage Key Opinion Leaders (KOLs) globally, enabling more strategic marketing efforts, informed R&D collaboration, and consistent relationship management across teams.","Konectar uses AI to aggregate and analyze publicly available data on physicians—such as publications, clinical trials, and affiliations—to create profiles with influence metrics and professional network insights. ",AIOC updated,Urgent,FALSE,TRUE,N/A,Konectar,,FALSE,,,High,Yes,"Elizondo, Carlos",4/23/25,7/14/25 9:23,2025,,6/11/25,6/12/25,,,,,"Global KOLs, R&D engineers",No,,,,,,,,,,,,3/27/26 7:10,30,Not Assessed,Not Assessed,Completed,,,,,0,Commercial US,,,,,,,,0
18,LHH-Ezra AI,LHH-Ezra AI,AI Office,Completed,6. Approved for Use,12. Complete,Pending Assessments / AI ARC,"Flores, Fernando","Flores, Fernando",Buy,"Pizarro, Laurie","Pizarro, Laurie",HR,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=49&e=R0xNSv,,Routine,/:x:/s/AIStrategy/IQCQ_nPdtb42QIMey1KkCrkNAXqqqdaANYZEkEtFE8PC55s?e=EOBpCg,"11/10 --> Model Validation Team is waiting access to complete the assessment and provide the approval. DONE 11/13 --> Fer, case will move to AI ARC, follow up 11/18 after AI ARC for output. 12/05 Follow up",Enable the use of AI capabilities inside of the coaching platform EZRA,"An AI-powered development assistant built on the Microsoft Azure cloud computing platform. ""Cai"" (chatbot name) represents a breakthrough in learner engagement for EZRA by leveraging the power of generative AI to enable a more interactive and productive user experience.",AIOC updated,N/A,FALSE,FALSE,User conversational messages,EZRA's CAI chatbot,,FALSE,,,High,Yes,"Abreu, Matthew",3/5/25,7/14/25 9:51,2025,,3/12/25,4/10/25,,1/20/26,,,Stryker's internal employees,No,,,,,,,,,,,,5/4/26 5:59,30,Enviroment Provided,Required,Completed,,,,,0,Corporate,,,,,,,,0
19,Loopio,Loopio,AI Office,New Submission,1. Discovery,01. Use Case Submission,New Use Case,"Flores, Fernando","Flores, Fernando",Buy,"Wates, Caroline","Wates, Caroline",Product Security,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=51&e=Y6utn3,,Routine,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=51&e=lbrfEC,11/10 --> Mike to follow up over Fernando's message. 12/05 No respond.,Increase efficiency of completion of customer questionnaires while providing accurate responses.," Users use generative AI to generate responses for customer questionnaires from the Loopio content library.
Intended Use: AI will generate responses to imported customer questionnaires from the Loopio library only (no public sources will be used).",AIOC updated/ No risk assessment,N/A,FALSE,FALSE,Customer Questions,Loopio AI feature,,FALSE,,,High,Yes,"Abreu, Matthew",3/12/25,7/14/25 10:01,2025,,3/12/25,4/10/25,,,,,Internal Stryker Users already trained on this platform,No,,,,,,,,,,,,5/4/26 6:28,30,Not Assessed,Not Assessed,Required,,,,,0,Other,,,,,,,,0
